masked,cluster,original_examples,original_count
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-کریستال-طرح-برازنده-Graceful-rhod-crystal,3,/product/12865/21378/گردنبند-زنانه-الیور-وبر-مدل-کریستال-طرح-برازنده-Graceful-rhod-crystal,1
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-شبدر-خوش-شانس-چهارپر-Lucky-rhod-crystal,3,/product/20917/45246/گردنبند-زنانه-الیور-وبر-مدل-شبدر-خوش-شانس-چهارپر-Lucky-rhod-crystal,1
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-کریستال-طرح-فرشته-مقدس-<NUM>AG-rhod-crystal,3,/product/20950/45881/گردنبند-زنانه-الیور-وبر-مدل-کریستال-طرح-فرشته-مقدس-925AG-rhod-crystal,1
/product/<NUM>/<NUM>/مهره-دستبند-الیور-وبر-مدل-استیل-طرح-اسپایک-متالیک-Spike-Steel-metallic,3,/product/24813/51761/مهره-دستبند-الیور-وبر-مدل-استیل-طرح-اسپایک-متالیک-Spike-Steel-metallic,1
/blog/tag/ادویه/feed/,4,/blog/tag/ادویه/feed/,1
/blog/tag/عطر/,4,/blog/tag/عطر/,1
/m/article/<NUM>/علت-و-درمان-گردن-درد-(همراه-سردرد-و-سرگیجه),4,/m/article/606/علت-و-درمان-گردن-درد-(همراه-سردرد-و-سرگیجه),1
/blog/home-appliances/food-preparation/grinder/,4,/blog/home-appliances/food-preparation/grinder/,1
/blog/sports/sport-fields/table-sports/table-football/,4,/blog/sports/sport-fields/table-sports/table-football/,1
/image/<NUM>/article/<NUM>x<NUM>,4,/image/1195/article/100x100|||/image/1191/article/100x100|||/image/1194/article/100x100|||/image/1193/article/100x100,4
/article/<NUM>/علت-و-درمان-گردن-درد-(همراه-سردرد-و-سرگیجه),4,/article/606/علت-و-درمان-گردن-درد-(همراه-سردرد-و-سرگیجه),1
/blog/tag/گجت/,4,/blog/tag/گجت/,1
/blog/tag/خواب/,4,/blog/tag/خواب/,1
/image/<NUM>/productType/<NUM>x<NUM>,5,/image/33419/productType/120x90|||/image/12/productType/120x90|||/image/32703/productType/120x90|||/image/6213/productType/240x180|||/image/11671/productType/240x180,21
/image/<NUM>/mainSlide,5,/image/1218/mainSlide|||/image/1215/mainSlide|||/image/1210/mainSlide,3
/image/<NUM>/brand,5,/image/41/brand|||/image/180/brand|||/image/58/brand|||/image/2/brand|||/image/399/brand,27
/image/<NUM>/mainSlideMobile,5,/image/788/mainSlideMobile|||/image/764/mainSlideMobile|||/image/983/mainSlideMobile|||/image/978/mainSlideMobile|||/image/890/mainSlideMobile,7
/image/<NUM>/specialSale,5,/image/8727/specialSale|||/image/8739/specialSale|||/image/8712/specialSale,3
